name,location_x,location_y,reviews,rating,staff,facilities,cleanliness,comfort,money_value,location,wifi,night_price
Hotel Idou Tiznit,29.707649,-9.733338,87,7.2,8.1,6.7,7.9,7.9,7.2,8.4,7.8,712
Auberge Toubkal Amsouzart Aitst Idar,31.01435963,-7.83367589,14,9,9.6,8.2,8.2,8.6,9.3,8.9,9.6,212
Palais Fes Yahya,34.05906416,-4.97452278,264,9.8,9.9,9.8,9.8,9.8,9.9,9.6,8.8,602
Hotel Cecil,31.62522111,-7.98851095,609,8,8.8,7.5,7.9,8,8.6,9.5,7.4,316
Palais Clementina & Spa,31.54805,-7.97746,172,7.4,8.4,7.1,7.6,7.8,7.8,7.7,7.5,802
Riad Zaouia 44,31.63920622,-7.98924923,242,9,9.7,9,9.3,9.4,9.2,8,8.3,1277
Domaine Villate Limoune,30.38574827,-9.23943735,115,9.1,9.3,9.1,9.3,9.4,8.4,9.2,7.5,2652
Riad Dar Haven,30.51400858,-9.6811223,131,9,9.6,9.2,9.4,9.3,9.2,8.3,8.8,1056
Guest House Bagdad Café,31.04264607,-7.13020474,369,9.4,9.8,9.5,9.7,9.6,9.6,9.6,9.2,669
Kasbah Valentine,31.04305744,-7.13091016,254,8.9,8.6,8.9,9,9,9.3,9.5,8.8,357
Riad Zina Fes,34.064794,-4.972399,370,9.1,9.7,8.9,9,9.1,9.4,8.8,8,392
Hôtel Sable d'Or,28.43901061,-11.10291032,57,7.7,8.8,7.2,8,7.9,7.9,8.6,5.5,390
Hotel Le Médina Essaouira Thalassa sea & spa – Mgallery,31.50860769,-9.7663857,713,8,8.8,7.7,8.3,8.4,7.6,9.4,8.3,1620
Palais Ghiat,31.50403179,-7.85024643,170,7.8,9,7.6,7.7,7.9,8.2,7.8,5.3,533
Dar Ziouane,35.4153551,-5.09599566,40,7.7,7.8,7.3,7.9,7.6,8.4,7.4,7.8,421
Oasis Palm Hotel,29.03097174,-9.99939524,170,8.1,8.7,8.3,8.5,8.6,7.8,7.9,7.5,1003
Oscar Hotel by Atlas Studios,30.94071572,-6.96700573,490,8.3,8.6,8.3,8.8,8.7,8.1,8.6,7.9,947
El Olivar Palace Marrakech-All Inclusive,31.52424296,-7.95768331,1,8.5,9.2,8.7,9,9,8.3,8,7.9,2040
Merzouga Luxury Camp,31.11243735,-4.00648121,211,9.4,9.5,9.4,9.4,9.4,9.3,9.7,8.6,1783
Auberge Le Festival Todra Gorge,31.58823718,-5.59463203,454,9.3,9.6,9.2,9.1,9.3,9.2,9.7,8.4,792
RIAD CHANT D'ETOILES tadighoust,31.8113673,-4.9671833,8,10,10,9.4,10,10,10,9.4,10,657
Hotel Atlas,31.157217,-7.463154,4,7.5,7.5,7.5,8.1,8.1,8.1,8.1,7.5,361
Luxury Spacious Apartment Midtown Casablanca,33.585093,-7.6076519,7,7.3,7.5,7.5,7.5,7.9,7.1,7.5,7.5,828
Equi Palace & SPA Near Aeroport,33.21185862,-7.50337866,113,8.2,9.3,8.2,8.5,8.2,8.1,8.1,10,858
Be Live Collection Marrakech Adults Only All inclusive,31.64902852,-7.92278141,978,8.6,9.2,8.9,9.2,9.2,8.5,7.9,8.4,4235
Ibis Casablanca City Center,33.5984816,-7.61340469,821,6.9,7.7,6.9,7.4,7.3,6.9,8.5,8,637
Hôtel Inou,30.49821803,-9.6724534,132,7.8,8.9,7.6,7.9,8.2,8.2,7.8,8.5,231
Camping Auberge Aain Nakhla,28.94099481,-9.93336813,26,7.6,8.7,7,6.9,6.9,8,7.8,2.5,418
